,modelId,layer,index,description,explanationModelName,typeName
0,gpt2-small,8-res_fs768-jb,82,ages of children,gpt-3.5-turbo,oai_token-act-pair
1,gpt2-small,8-res_fs768-jb,489,words related to specific locations,gpt-3.5-turbo,oai_token-act-pair
2,gpt2-small,8-res_fs768-jb,142,names of individuals,gpt-3.5-turbo,oai_token-act-pair
3,gpt2-small,8-res_fs768-jb,546,mentions of the color red,gpt-3.5-turbo,oai_token-act-pair
4,gpt2-small,8-res_fs768-jb,0,phrases related to international relations or policies,gpt-3.5-turbo,oai_token-act-pair
5,gpt2-small,8-res_fs768-jb,21,requests for instruction or help,gpt-3.5-turbo,oai_token-act-pair
6,gpt2-small,8-res_fs768-jb,389,"contractions involving ""don't""",gpt-3.5-turbo,oai_token-act-pair
7,gpt2-small,8-res_fs768-jb,468,locations or geographic regions,gpt-3.5-turbo,oai_token-act-pair
8,gpt2-small,8-res_fs768-jb,715, mentions of car accidents,gpt-3.5-turbo,oai_token-act-pair
9,gpt2-small,8-res_fs768-jb,1,terms related to law enforcement and legal actions,gpt-3.5-turbo,oai_token-act-pair
10,gpt2-small,8-res_fs768-jb,0,information related to governmental policies and international affairs,gpt-3.5-turbo,oai_token-act-pair
11,gpt2-small,8-res_fs768-jb,1,actions related to implementing bans and restrictions,gpt-3.5-turbo,oai_token-act-pair
12,gpt2-small,8-res_fs768-jb,2,information related to historical figures and events,gpt-3.5-turbo,oai_token-act-pair
13,gpt2-small,8-res_fs768-jb,3,phrases related to showcasing or demonstrating something,gpt-3.5-turbo,oai_token-act-pair
14,gpt2-small,8-res_fs768-jb,4,"phrases related to laws, regulations, policies, and societal issues",gpt-3.5-turbo,oai_token-act-pair
15,gpt2-small,8-res_fs768-jb,5,proper nouns related to various topics,gpt-3.5-turbo,oai_token-act-pair
16,gpt2-small,8-res_fs768-jb,6,actions or abilities described in a positive light,gpt-3.5-turbo,oai_token-act-pair
17,gpt2-small,8-res_fs768-jb,7,financial terms related to investments and trade,gpt-3.5-turbo,oai_token-act-pair
18,gpt2-small,8-res_fs768-jb,9,names of sports teams and players,gpt-3.5-turbo,oai_token-act-pair
19,gpt2-small,8-res_fs768-jb,10,phrases related to legal matters and sports injuries,gpt-3.5-turbo,oai_token-act-pair
20,gpt2-small,8-res_fs768-jb,11,phrases related to restaurants and food chains,gpt-3.5-turbo,oai_token-act-pair
21,gpt2-small,8-res_fs768-jb,12,information related to the German language,gpt-3.5-turbo,oai_token-act-pair
22,gpt2-small,8-res_fs768-jb,13,references to political inquiries or investigations,gpt-3.5-turbo,oai_token-act-pair
23,gpt2-small,8-res_fs768-jb,14,phrases related to direction and movement,gpt-3.5-turbo,oai_token-act-pair
24,gpt2-small,8-res_fs768-jb,15,percentages and numbers related to statistics and data,gpt-3.5-turbo,oai_token-act-pair
25,gpt2-small,8-res_fs768-jb,16,"phrases related to conflicts, injustices, and tragedies",gpt-3.5-turbo,oai_token-act-pair
26,gpt2-small,8-res_fs768-jb,17,"news articles related to various topics like government, legislation, sports, and health",gpt-3.5-turbo,oai_token-act-pair
27,gpt2-small,8-res_fs768-jb,18,names of individuals or specific entities,gpt-3.5-turbo,oai_token-act-pair
28,gpt2-small,8-res_fs768-jb,19,content related to political figures and policies,gpt-3.5-turbo,oai_token-act-pair
29,gpt2-small,8-res_fs768-jb,20,names of individuals or entities,gpt-3.5-turbo,oai_token-act-pair
30,gpt2-small,8-res_fs768-jb,22,phrases related to decision-making or judgment,gpt-3.5-turbo,oai_token-act-pair
31,gpt2-small,8-res_fs768-jb,23,financial and business terms,gpt-3.5-turbo,oai_token-act-pair
32,gpt2-small,8-res_fs768-jb,24, specific locations or names of places,gpt-3.5-turbo,oai_token-act-pair
33,gpt2-small,8-res_fs768-jb,25,"keywords related to natural disasters, scientific research, and political and economic issues",gpt-3.5-turbo,oai_token-act-pair
34,gpt2-small,8-res_fs768-jb,26,"words related to secrecy, espionage, leaked information, and controversies in politics",gpt-3.5-turbo,oai_token-act-pair
35,gpt2-small,8-res_fs768-jb,27,legal cases and proceedings,gpt-3.5-turbo,oai_token-act-pair
36,gpt2-small,8-res_fs768-jb,28,phrases related to informing or recounting events,gpt-3.5-turbo,oai_token-act-pair
37,gpt2-small,8-res_fs768-jb,29,comparisons or contrasts,gpt-3.5-turbo,oai_token-act-pair
38,gpt2-small,8-res_fs768-jb,30,keywords related to geographical locations and historical events,gpt-3.5-turbo,oai_token-act-pair
39,gpt2-small,8-res_fs768-jb,31,comparative words or phrases,gpt-3.5-turbo,oai_token-act-pair
40,gpt2-small,8-res_fs768-jb,32,"the phrase ""end result""",gpt-3.5-turbo,oai_token-act-pair
41,gpt2-small,8-res_fs768-jb,33,"information related to monitoring and following activities, specifically in the context of technology advancements and business initiatives",gpt-3.5-turbo,oai_token-act-pair
42,gpt2-small,8-res_fs768-jb,34,countries and their related entities,gpt-3.5-turbo,oai_token-act-pair
43,gpt2-small,8-res_fs768-jb,35,sports-related discussions or updates,gpt-3.5-turbo,oai_token-act-pair
44,gpt2-small,8-res_fs768-jb,36,information related to crime and tragic events,gpt-3.5-turbo,oai_token-act-pair
45,gpt2-small,8-res_fs768-jb,37,quantitative details and statistics,gpt-3.5-turbo,oai_token-act-pair
46,gpt2-small,8-res_fs768-jb,38,quotations in the text,gpt-3.5-turbo,oai_token-act-pair
47,gpt2-small,8-res_fs768-jb,39,words related to the beginning or initiation of actions or events,gpt-3.5-turbo,oai_token-act-pair
48,gpt2-small,8-res_fs768-jb,40,statements related to controversy or contentious situations,gpt-3.5-turbo,oai_token-act-pair
49,gpt2-small,8-res_fs768-jb,41,"discussion of specific individuals or entities within a community or organization, likely in a professional or work-related context",gpt-3.5-turbo,oai_token-act-pair
50,gpt2-small,8-res_fs768-jb,42,"sentences that emphasize unity and common ground among individuals, often using the context of discussing differences in background, beliefs, or preferences",gpt-3.5-turbo,oai_token-act-pair
51,gpt2-small,8-res_fs768-jb,43," mentions of legal proceedings, court appearances, lawsuits, and trials",gpt-3.5-turbo,oai_token-act-pair
52,gpt2-small,8-res_fs768-jb,44,informational questions and instructions,gpt-3.5-turbo,oai_token-act-pair
53,gpt2-small,8-res_fs768-jb,45,information related to specific topics and points in a text,gpt-3.5-turbo,oai_token-act-pair
54,gpt2-small,8-res_fs768-jb,46,mentions of current or recent events/actions,gpt-3.5-turbo,oai_token-act-pair
55,gpt2-small,8-res_fs768-jb,47,"words related to artistic and creative expressions, especially in the context of filmmaking and storytelling",gpt-3.5-turbo,oai_token-act-pair
56,gpt2-small,8-res_fs768-jb,48,keywords related to legal matters and policies,gpt-3.5-turbo,oai_token-act-pair
57,gpt2-small,8-res_fs768-jb,49,political figures and events,gpt-3.5-turbo,oai_token-act-pair
58,gpt2-small,8-res_fs768-jb,50,"requests, negotiations, and agreements within a context of creating solutions and cooperation",gpt-3.5-turbo,oai_token-act-pair
59,gpt2-small,8-res_fs768-jb,51,names and titles of individuals,gpt-3.5-turbo,oai_token-act-pair
60,gpt2-small,8-res_fs768-jb,52,proper nouns related to news articles,gpt-3.5-turbo,oai_token-act-pair
61,gpt2-small,8-res_fs768-jb,53,"information related to regulations and substances, especially in the context of marijuana or chemicals like THC and methanol",gpt-3.5-turbo,oai_token-act-pair
62,gpt2-small,8-res_fs768-jb,54,mentions of specific terms related to technology and names of programming languages,gpt-3.5-turbo,oai_token-act-pair
63,gpt2-small,8-res_fs768-jb,55,legal terms and information related to court cases and laws,gpt-3.5-turbo,oai_token-act-pair
64,gpt2-small,8-res_fs768-jb,56,"words related to social and political issues, critical comments, and mentions of crises",gpt-3.5-turbo,oai_token-act-pair
